Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-12-17,6.599999904632568,6.71999979019165,5.880000114440918,5.880000114440918,142958,0.0,0.0
2018-12-18,5.880000114440918,6.239999771118164,5.760000228881836,6.119999885559082,84400,0.0,0.0
2018-12-19,6.119999885559082,6.480000019073486,6.0,6.239999771118164,80583,0.0,0.0
2018-12-20,6.360000133514404,6.71999979019165,5.639999866485596,5.760000228881836,139158,0.0,0.0
2018-12-21,6.119999885559082,6.480000019073486,6.0,6.360000133514404,156442,0.0,0.0
2018-12-24,6.119999885559082,6.480000019073486,5.639999866485596,6.239999771118164,103683,0.0,0.0
2018-12-26,6.480000019073486,7.559999942779541,6.360000133514404,6.960000038146973,196933,0.0,0.0
2018-12-27,7.320000171661377,7.440000057220459,6.239999771118164,6.599999904632568,106583,0.0,0.0
2018-12-28,6.840000152587891,7.440000057220459,6.599999904632568,7.320000171661377,276800,0.0,0.0
2018-12-31,7.320000171661377,7.440000057220459,6.480000019073486,6.599999904632568,265542,0.0,0.0
2019-01-02,6.599999904632568,6.960000038146973,6.239999771118164,6.840000152587891,249650,0.0,0.0
2019-01-03,6.840000152587891,6.960000038146973,6.360000133514404,6.599999904632568,128142,0.0,0.0
2019-01-04,6.480000019073486,6.840000152587891,6.360000133514404,6.71999979019165,92517,0.0,0.0
2019-01-07,6.71999979019165,6.960000038146973,6.360000133514404,6.960000038146973,131358,0.0,0.0
2019-01-08,7.199999809265137,7.199999809265137,6.71999979019165,7.079999923706055,126683,0.0,0.0
2019-01-09,7.199999809265137,7.199999809265137,6.480000019073486,6.71999979019165,331208,0.0,0.0
2019-01-10,7.199999809265137,7.199999809265137,6.480000019073486,6.599999904632568,204408,0.0,0.0
2019-01-11,6.599999904632568,6.599999904632568,6.119999885559082,6.239999771118164,174483,0.0,0.0
2019-01-14,6.239999771118164,6.840000152587891,6.239999771118164,6.480000019073486,179433,0.0,0.0
2019-01-15,6.480000019073486,7.079999923706055,6.360000133514404,6.71999979019165,228642,0.0,0.0
2019-01-16,6.71999979019165,6.960000038146973,6.360000133514404,6.480000019073486,126142,0.0,0.0
2019-01-17,6.599999904632568,6.71999979019165,6.360000133514404,6.480000019073486,99967,0.0,0.0
2019-01-18,6.599999904632568,7.199999809265137,6.360000133514404,6.71999979019165,203325,0.0,0.0
